Name;mi;km;code;;
Alabama;52420;135767;AL;;
Alaska;665384;1723337;AK;;
Arizona;113990;295234;AZ;;
Arkansas;53179;137732;AR;;
California;163695;423967;CA;;
Colorado;104094;269601;CO;;
Connecticut;5543;14357;CT;;
Delaware;2489;6446;DE;;
District of Columbia;68;177;DC;;
Florida;65758;170312;FL;;
Georgia;59425;153910;GA;;
Hawaii;10932;28313;HI;;
Idaho;83569;216443;ID;;
Illinois;57914;149995;IL;;
Indiana;36420;94326;IN;;
Iowa;56273;145746;IA;;
Kansas;82278;213100;KS;;
Kentucky;40408;104656;KY;;
Louisiana;52378;135659;LA;;
Maine;35380;91633;ME;;
Maryland;12406;32131;MD;;
Massachusetts;10554;27336;MA;;
Michigan;96714;250487;MI;;
Minnesota;86936;225163;MN;;
Mississippi;48432;125438;MS;;
Missouri;69707;180540;MO;;
Montana;147040;380831;MT;;
Nebraska;77348;200330;NE;;
Nevada;110572;286380;NV;;
New Hampshire;9349;24214;NH;;
New Jersey;8723;22591;NJ;;
New Mexico;121590;314917;NM;;
New York;54555;141297;NY;;
North Carolina;53819;139391;NC;;
North Dakota;70698;183108;ND;;
Ohio;44826;116098;OH;;
Oklahoma;69899;181037;OK;;
Oregon;98379;254799;OR;;
Pennsylvania;46054;119280;PA;;
Rhode Island;1545;4001;RI;;
South Carolina;32020;82933;SC;;
South Dakota;77116;199729;SD;;
Tennessee;42144;109153;TN;;
Texas;268596;695662;TX;;
Utah;84897;219882;UT;;
Vermont;9616;24906;VT;;
Virginia;42775;110787;VA;;
Washington;71298;184661;WA;;
West Virginia;24230;62756;WV;;
Wisconsin;65496;169635;WI;;
Wyoming;97813;253335;WY;;
;;;;;
